,Title,Abstract,Ranking
47,METHOD FOR PRODUCING HEAT SINK,"Provided is a method for producing a heat sink that can easily and effectively form a heat radiating film on the surface of a substrate without requiring enormous heat energy for increasing the temperature of the substrate. The method is a method for producing a heat sink having a substrate W and a heat radiating film formed on the surface of the substrate W, including a first step of casting a substrate W by injecting molten metal Y into a cavity C of molding dies 10; and a second step of applying a heat radiating coating to the substrate W through spraying or dropping in the period from when the molding dies 10 are opened after the casting until when the temperature of the substrate W that has been cast becomes lower than the deposition temperature that is a temperature necessary to deposit the heat radiating coating on the substrate W.",1
48,ENGINE HEAT EXCHANGER AND METHOD OF FORMING,"A heat exchanger (50, 150, 250, 350) for a turbine engine having a body (88, 188, 288, 388) including a first surface (68, 168, 268, 368), a second surface (70, 170, 270, 370) opposite the first surface (68, 168, 268, 368), and at least one fluid passage (190, 290) configured to carry a flow of heated fluid (H) proximal to the second surface (70, 170, 270, 370) and where the body (88, 188, 288, 388) is arranged to transfer heat from the heated fluid (H) to a cooling fluid (C) passing by the second surface (70, 170, 270, 370).",3
49,PLATE HEAT EXCHANGER HAVING THROUGH HOLE FOR FASTENING OF HYDRO BLOCK,"A heat exchanger comprises a number of heat exchanger plates provided with a pressed pattern arranged such that flow channels for media to exchange heat will be formed between the number of heat exchanger plates when the plates are stacked onto one another to a heat exchanger plate stack. Port openings are provided for selective communication with the flow channels, the selective communication being achieved by placing areas surrounding said port openings at different heights, such that such areas of neighbouring plates contact one another when no communication is desired and do not contact one another when communication is desired. At least one opening extends through the entire heat exchanger stack, the at least one opening being arranged in line with an axis extending centrally between two neighbouring port openings and being closed from communication with the flow channels.",1
50,HEAT EXCHANGER WITH IMPROVED TUBE-REINFORCING MEANS,"Heat exchanger (10) according to the invention comprising: _ a bundle of tubes (12); _ a header box (14) connected to the tubes (12); _ at least one collector plate (18) closing the header box (14) and into which the tubes (12) open _ a bundle of fins; and _ reinforcing means (20) for reinforcing at least one of the tubes (12), characterized in that the reinforcing means (20) are attached to an exterior surface (S) of at least one of the tubes (12) in a zone (Z) devoid of fins and extending between the collector plate (18) and an envelope surface (E) defined by the bundle of fins.",1
51,COLLECTOR PLATE FOR HEAT EXCHANGER,"The subject of the invention is a collector plate 9, 9' able to be incorporated into a collector box 4, 4' that forms part of a heat exchanger 1 for a vehicle, the said collective plate 9, 9' comprising slots 17, 17', 20, 20' capable of housing one of the ends of tubes 10, 10' that form part of the heat exchanger 1, at least two groups of slots Gf1, Gf2 each being made up of slots referred to as open 17, characterized in that the collective plate 9, 9' comprises at least one slot referred to as blind 20, 20' formed between the two groups of open slots Gf1,Gf2.",1
52,DEVICE AND METHOD FOR TEMPERING THE FLOW OF LIQUIDS IN MEDICAL DEVICES,The present invention relates to a device for tempering the flow of medical rinsing liquids and to a method carried out with the aid of said device.,1
53,METHOD FOR PRODUCING A PLATE HEAT EXCHANGER BLOCK WITH TARGETED APPLICATION OF THE SOLDER MATERIAL TO FINS AND SIDEBARS IN PARTICULAR,"The present invention relates to a method for producing a soldered plate heat exchanger block (11), which has a plurality of heat exchange passages (1) for indirect heat exchange between at least two fluids, wherein the plate heat exchanger block (11) is made up of separating plates (4), sidebars (8) and heat conducting structures (3) as components (4, 8, 3), wherein the heat conducting structures (3) have or form a corrugated structure with alternately arranged corrugation peaks and troughs (12, 14) and corrugation flanks (13), and wherein the corrugation peaks and troughs (12, 14) are arranged parallel to one another. The method has the following steps: arranging the components (3, 4, 8) in a stack (11) by arranging the separating plates (4) in parallel while inserting sidebars (8) and heat conducting structures (3) between the separating plates (4), and soldering the stack (11). Before arranging the components (3, 4, 8) in a stack, solder material (L) is applied to one or more of the components (3, 4, 8) of the plate heat exchanger block (11) in such a way that a respective abutting area (8a, 8b) of the sidebars (8), a respective abutting area (12b, 14a) of the heat conducting structures (3) and/or a respective abutting region (4a, 4b) of the separating plates (4) is formed by solder, and that, when viewed after arranging the components (3, 4, 8) in the stack (11) and before soldering the stack (11), surface regions (15) that are located on one side (4.1, 4.2) of a respective separating plate (4) between the abutting regions (4a, 4b) and/or the abutting areas (8a, 8b, 12b, 14a) are free from a solder layer (L) or are not in contact with a solder layer (L).",3
54,VEHICLE THERMAL MANAGEMENT SYSTEM AND HEAT EXCHANGERS,"A vehicle thermal management system includes selective use of a liquid cooled gas cooler (LCGC) and conductive heat exchangers between heating, cooling, battery, and powertrain thermal management loops to increase temperature control and efficiency of the system.",1
55,HEAT EXCHANGER AND METHOD FOR MANUFACTURING SUCH A HEAT EXCHANGER,"The present invention relates to a heat exchanger and a method for manufacturing such a heat exchanger. The heat exchanger comprises a material body (3) comprises a plurality of projecting end portions (3a, 3b) which comprises outer end surfaces(la, lb, 2a, 2b) defining an end of the material body (3) and spaces (6, 7) which are arranged between adjacent end portions (3a, 3b) which spaces (6, 7) are defined by an inner end surface (la, lb, 2a, 2b) which is located at a distance from the end of the material body. Said outer end surfaces (la, lb, 2a, 2b) comprises openings of channels (lc, 2c) which direct a first medium (4) through the material body (3) and said inner end surfaces (la, lb, 2a, 2b) comprises openings of channels (lc, 2c) which direct a second medium (5) through the material body (3). The heat exchanger comprises a clamping device (11, 15) which is adapted to press together the projecting end portions (3a, 3b) such that a tight connection is provided between adjacent end portions (3a, 3b) at an end of the material body (3).",3
56,Heat radiation tape apparatus and method for manufacturing the heat radiation tape,"Disclosed are a heat radiating tape, and a manufacturing apparatus and a manufacturing method thereof. According to the present invention, the heat radiating tape includes a compression region formed on both sides of a ridge and a valley of a corrugation structure. Moreover, the manufacturing apparatus comprises: a corrugation roll forming the compression region on both sides of the ridge and the valley of the corrugation structure, and spaced apart at a predetermined distance to be engaged with each other to allow rotation; and a transfer means to transfer a heat radiating sheet to the corrugation roll. The manufacturing method comprises: a step of passing the heat radiation sheet through the corrugation roll; a step of forming a compression region on both sides of the ridge and the valley of the corrugation structure by the corrugation roll; and a step of completing the heat radiating tape of a corrugation structure through plastic deformation. Accordingly, as rigidity is increased through deformation of the corrugation structure, a resistance with respect to the plastic deformation is able to be increased; thereby using a more flexible material to manufacture the heat radiating tape. The heat radiating tape is attached to a heated body in a simple adhesion method; thereby being easy to use and being able to be extended for a plurality of uses.",1
57,FURNACE COIL MODIFIED FINS,The present invention provides for thick fins on the surface of coils or tubes in a steam cracking furnace. The fins have a thickness at their base from1/4 to 3/4 of the radius of the furnace tube. The fins have grooves or protuberances on not less than about 10% of a major surface. The fins help increase the radiant heat taken up by the tube from the walls and combustion gases in the furnace.,1
58,SELF-ICE MAKING/SELF HEATING HYBRID FOOD AND BEVERAGE STORAGE CHEST,"A refrigerated food storage box has been disclosed. This refrigerated food storage box has an inner box comprising a set of inner walls and an inner base, together enclosing a food storage compartment. There is also an outer box comprising a set of outer walls and an outer base, wherein each outer wall is located at a predetermined distance from a corresponding inner wall and the outer base is located at the predetermined distance from the inner base, thereby creating a thermal cavity between the inner box and the outer box. There is at least one plate-type heat exchanger located within the thermal cavity, wherein each plate-type heat exchanger having a hollow cavity therein. Note that the hollow cavity capable of receiving temperature controlled air from a refrigeration unit, thereby capable of altering the temperature inside the food storage compartment.",1
59,Vertikaler W_rmetauscher,"The invention relates to a vertical heat exchanger (1) having a heat exchange volume (2) that is bounded at opposite ends by an upper tube plate (3) and a lower tube plate (4) of the heat exchanger (1), and a homogeneous tube bundle (10), wherein the tube bundle (10) has a multiplicity of heat exchanger tubes (12) that are arranged regularly with respect to one another and extends within the heat exchange volume (2) between the lower tube plate (4) and the upper tube plate (3), wherein furthermore the heat exchanger tubes (12) can be flowed through by a first medium and at least one second medium can be arranged in the rest of the heat exchange volume (2), and wherein an exchange of heat can be carried out between the first medium and the second medium.",3
60,SOLVENT SEPARATION METHOD AND SOLVENT SEPARATION APPARATUS,"Provided is a solvent separation method and a solvent separation apparatus that make it possible to efficiently retrieve the thermal energy possessed by an exhaust atmosphere released in a solvent-removal step to suppress reductions in a temperature of the exhaust atmosphere. In the solvent separation method and the solvent separation apparatus, a vaporized solvent is removed from a gas while heat-exchange between the gas within a condensation part and the gas within a dust-collection part is conducted by using a heat exchange part that is placed between the condensation part that introduces the gas into a first direction and the dust-collection part that introduce the gas into a second direction opposite to the first direction the gas discharged from a downstream side of the condensation part.",1
61,"TURBULENCE MEMBER AND HEAT EXCHANGER USING SAME, AND WATER HEATER",A turbulence member is made of a flat plate member configured to be inserted into a heat-transfer tube having a substantially elliptical cross-sectional shape. The flat plate member is a generate turbulence in a fluid flowing inside the heat-transfer tube by a plurality of projected pieces projected on both front and back surfaces. A rotation preventing piece configured to prevent rotation of the flat plate member inside the heat-transfer tube is provided in at least one of both side edges along the flow passage direction in the flat plate member. The rotation preventing piece is provided at a predetermined angle to the flat plate member so that a forefront comes into contact with a tube wall inner circumferential surface of the heat-transfer tube. A space through which the fluid can circulate is formed between the rotation preventing piece and the tube wall inner circumferential surface.,1
62,Power battery water chilling unit system and intelligent control method thereof,"The invention discloses a power battery water chilling unit system and an intelligent control method thereof. The power battery water chilling unit system comprises a water chilling unit and a water chilling unit controller; the water chilling unit comprises a compressor, a pressure switch, a condenser, a condensation fan, a stored liquid drying tank, an expansion valve, a plate type exchanger, a PTC heater, a three-way valve, an inlet water temperature sensor, a power battery box body, an outlet water temperature sensor, a water tank and an electronic water pump. The compressor, the pressure switch, the condenser, the condensation fan, the stored liquid drying tank, the expansion valve and the platy type exchanger are connected in series. The power battery water chilling unit system not only efficiently improves the degree of automation of control of the power battery water chilling unit, but the control system also can adjust the rotating speed of the compressor, the electronic water pump and the condensation fan adaptively, can keep the power battery working in the optimal temperature range and the temperature difference range; in addition, the battery temperature trend can be known in advance through an ampere-hour integer; and as a correction factor is added, the hysteresis of temperature collection can be solved efficiently.",1
63,Composite heat conduction plate for heat exchanger,"The invention relates to a composite heat conduction plate for a heat exchanger, and belongs to the technical field of heat exchangers. The organic-inorganic composite heat conduction plate comprises a magnesium oxide-aluminum oxide-molybdenum selenide composite material layer, a first heat conduction bonding layer, a polycarbonate resin substrate, a second heat conduction bonding layer and a metal substrate which are sequentially stacked, wherein a plurality of through holes are formed in the polycarbonate resin substrate in a through manner, and the through holes are filled with heat conduction bonding columns; and the heat conduction bonding columns make the first heat conduction bonding layer be connected with the second heat conduction bonding layer. Compared with the prior art, the composite heat conduction plate has the advantages that the multi-layer composite structure is used, the organic-inorganic composite heat conduction plate is formed by compounding materials with different functions, and the heat conduction performance is excellent.",1
64,Organic-inorganic composite heat conduction plate for heat exchanger,"The invention relates to an organic-inorganic composite heat conduction plate for a heat exchanger, and belongs to the technical field of heat exchangers. The organic-inorganic composite heat conduction plate comprises a boron nitride-aluminum oxide-titanium nitride composite material layer, a first heat conduction bonding layer, an ABS resin substrate, a second heat conduction bonding layer and the metal substrate which are sequentially stacked, wherein a plurality of through holes penetrating through the ABS resin substrate are formed in the ABS resin substrate, and the through holes are filled with heat conduction bonding columns; and the heat conduction bonding columns make the first heat conduction bonding layer connected with the second heat conduction bonding layer. Compared with the prior art, the organic-inorganic composite heat conduction plate has the advantages that the multi-layer composite structure is used, the organic-inorganic composite heat conduction plate is formed by compounding materials with different functions, and the heat conduction performance is excellent.",1
65,Air conditioner indoor unit,"The invention provides an air conditioner indoor unit comprising a case, a heat exchanger, a fan and a movable cover plate. The case is provided with an air inlet and an air outlet. The heat exchanger is arranged in the case, and air entering the case from the air inlet exchanges heat with the heat exchanger to form heat-exchanged air. The fan is arranged in the case and drives the heat-exchanged air to be blown towards the indoor space through the air outlet. The movable cover plate is movably arranged at the air outlet and can move away from the air outlet to enable an annular air supply gap to be formed between the edge of the movable cover plate and the edge of the air outlet, or moves close to the air outlet so as to close the air outlet. An air supply structure of the air conditioner indoor unit is novel and unique, the air can be uniformly blown towards the indoor space in a large range easily, and thus the temperature of the indoor space is decreased or increased uniformly.",1
66,Ship ballast water treatment system based on PLC control,"The invention relates to a ship ballast water treatment system based on PLC control. The ship ballast water treatment system comprises a sea chest and a shipboard; a ballast compartment, a plate-type preheater, a shell and tube main heat exchanger, a heat storage cabinet, an automatic cleaning and filtering device and an ultraviolet inactivation device are sequentially connected in series between the sea chest and the shipboard; a first electric control valve and a first ballast pump are connected in series between the sea chest and the ballast compartment; a second ballast pump, a main flowmeter and a second electric control valve are connected in series between the ballast compartment and the plate-type preheater; and the sea chest is sequentially connected in series with the a third electric control valve, a cooling water pump and a freshwater cooler. The waste heat of the freshwater cooler of a host is reasonably utilized, ultraviolet inactivation is selectively assisted by a PLC control module, and finally, the ballast water can reach the corresponding sea emission standard.",1
67,Novel simply-mounted plate heat exchanger,"The invention discloses a novel simply-mounted plate heat exchanger which comprises a first panel, bolts, heat exchange sheets, partition layers and a second panel. The outward panel face of each of the first panel and the second panel is provided with an inlet and an outlet which communicate with a heat exchange sheet main channel. The first panel and the second panel which are vertically arranged are opposite with panel faces. The partition layers and the heat exchange sheets are arranged in the middle, and the bolts penetrate through holes evenly distributed in the peripheries of the first panel and the second panel for locking connection. The integrated structure is simple, the manufacturing cost is low, and the energy utilization rate is high, and the novel simply-mounted plate heat exchanger is suitable for various specifications of auxiliary facilities.",5
68,Air conditioner indoor unit and air conditioner,"The invention discloses an air conditioner indoor unit and an air conditioner. The air conditioner indoor unit comprises a support, an electrical control box, a heat exchanger, a volute, a front water receiving disc, a rear water receiving disc and a water drainage component, wherein the support comprises a base plate and side fixing parts which are separately located on two ends of the base plate; each of the two side fixing parts is provided with a slide chute structure; a wire hole is formed in a side, below the electrical control box, of the base plate; sliding boss structures which are in slidable match with the slide chute structures are separately arranged on left and right ends of the volute; the front water receiving disc is arranged on the front end of the upper part of the volute; the rear water receiving disc is arranged on the rear side of the upper part of the volute; the end wall, close to the electrical control box, of the front water receiving disc is provided with a first water outlet faucet which extends toward a direction departing from the end wall; the water drainage component comprises a first water drainage pipe connector and a first water drainage pipe; the first water drainage pipe connector is detachably connected with a free end of the first water outlet faucet and one end of the first water drainage pipe; and the other end of the first water drainage pipe penetrates through the wire hole. By adopting the technical scheme of the invention, disassembly difficulty of the volute and the water drainage pipe is lowered, so that convenience of disassembly of the volute for cleaning or repair is improved.",1
69,Heat exchange plate special for heat exchanger,"The invention discloses a heat exchange plate special for a heat exchanger. Outer frame edges horizontally arranged at the four edges of a plate face are located on the same plane. The outer frame edges are lower than the plate face but are parallel to the plate face. The bottom walls of pits evenly distributed in the plate face are flush with the bottom edges of the outer frame edges. The outwards-protruding direction of connecting openings is opposite to the direction of the outer frame edges. By means of the heat exchange plate special for the heat exchanger, a heat exchange medium enters each heat exchange unit from the connecting opening of the heat exchange unit and forms turbulence flow through blocking of the alternative pit outer walls, and the heat exchange efficiency can be better improved through the heat exchange medium turbulence flow.",3
70,Electric power heat dissipation transformer,"The invention discloses an electric power heat dissipation transformer. The electric power heat dissipation transformer is reasonable and simple in structure low in production cost and convenient to install; in the heat dissipation process for the transformer, design of cooling oil is omitted, so that a phenomenon of oil flow discharge can be avoided; when the transformer is in use, a circulation blower, an air exchanging fan and a fan work together to drive large-area air convection so as to realize air circulation in each corner of the interior, thereby greatly improving the heat dissipation effect; a rainshed is provided, so that rainwater is prevented from entering the interior, a rainwater collector stores collected rainwater to a water chamber, and a water pump sprays rainwater to a main ventilating pipe through a nozzle, so that dramatic cooling is realized; heat dissipation sheets are also arranged, so that the heat dissipation effect is further improved; and in addition, the heat dissipation sheets adopt multiple sectional type heat dissipation plates, and multiple heat dissipation spiral columns are arranged on the heat dissipation plates, so that the heat dissipation effect is further improved.",1
71,Solar photothermal exchanger,"The invention discloses a solar photothermal exchanger. The solar photothermal exchanger comprises a photothermal conversion structure which communicates with a ventilation opening of an underground space and is composed of a plurality of solar photothermal conversion units communicating with one another, each solar photothermal conversion unit is rectangular, and the solar photothermal conversion units are arranged in a rectangular array form. The solar photothermal conversion units comprise middle air channels, a photothermal diaphragm plate is arranged on the air channels, and a light transmitting protection layer is arranged on the photothermal diaphragm plate. A heat preservation layer is arranged under the air channels. Inlets of the air channels communicate with the ventilation opening of the underground space, and outlets of the air channels communicate with an inlet of a chimney. According to the solar photothermal exchanger, a circular solar photothermal receiving pipeline is converted into a planar solar photothermal receiving pipeline, the photothermal conversion efficiency is high, air in the air channels is heated synchronously, and accordingly, the requirement for increasing the system ventilation flow rate is met. The solar photothermal exchanger is convenient to transport and install by being designed in a modular mode, and meanwhile is long in service life, high in performance cost ratio, simple and practical.",1
72,Air outlet plate and air conditioner indoor unit with air outlet plate,"The invention provides an air outlet plate and an air conditioner indoor unit with the structure. The air outlet plate is an L-shaped plate. An air outlet is formed in one side face of the air outlet plate. The widths of two side plates of the air outlet plate are equal. The air conditioner indoor unit comprises a shell, a heat exchanger assembly, a water collection disc, a draught fan assembly and the air outlet plate, wherein the water collection disc, the draught fan assembly and the air outlet plate are arranged in the shell from top to bottom. The heat exchanger assembly is obliquely arranged on the shell. A reserved space used for assembling the air outlet plate is formed between the heat exchanger assembly and the shell. The air outlet plate is assembled at the position of the reserved space and is detachably connected and fixed to the shell. The air outlet of the air outlet plate faces the top or faces one side. By means of the air outlet plate and the air conditioner indoor unit, the problems that in the prior art, because an air outlet and an air conditioner indoor unit with the air outlet structure are complex in air outlet structure and steering air ducts need to be added during steering, installation and assembly are difficult are solved.",1
73,Wall-mounted indoor unit and air conditioning system,"The invention discloses a wall-mounted indoor unit and an air conditioning system. The wall-mounted indoor unit comprises a shell, a cross-flow fan and a heat exchanger. The shell comprises an upper side plate and a front panel opposite to the upper side plate. The front panel comprises a vehicle-head-shaped section and a vehicle-body-shaped section in smooth connection with the vehicle-head-shaped section from bottom to top in sequence. The vehicle-body-shaped section is arranged in a protruding mode relative to the vehicle-head-shaped section, so that the shell has an outline imitating an SUV. An air channel is arranged in the shell, and an air inlet and an air outlet which are located in the two ends of the air channel are further formed in the shell. The cross-flow fan is arranged in the air channel and corresponds to the vehicle-body-shaped section. The heat exchanger is arranged in the air channel and located between the air inlet and the cross-flow fan. The shell is of an ultra-narrow structure, and the using requirements of a small-width placement space in a small room are met.",1
74,"Device for purifying, treating and utilizing combustion furnace tail gas","The invention provides a device for purifying, treating and utilizing combustion furnace tail gas. The device comprises a heat exchange chamber and is characterized in that the outer surface of the heat exchange chamber is covered with heat preservation cotton; a bent coiled pipe is arranged in the heat exchange chamber; a gas inlet is formed in the left end of the coiled pipe; a casing pipe is sleeved outside the coiled pipe; a plurality of heat exchange leakage holes are uniformly formed in the surface of the casing pipe; a water distribution plate is arranged in the heat exchanger chamber; a plurality of nozzles are arranged at the bottom of the water distribution plate; the right end of the coiled pipe is communicated with a pressurizing pipe; a pressurizing fan is mounted on the pressurizing pipe; a cyclone separator is mounted at the right end of the pressurizing pipe; a conveying pipe is arranged at the top of the cyclone separator; a filtering box is mounted on the conveying pipe; a plurality of filtering screens are arranged in the filtering box. According to the device, the combustion furnace tail gas with characteristics of high temperature and high heat is capable of heating the casing pipe in the coiled pipe and exchanging heat with running water; the bent coiled pipe is capable of prolonging the staying time of the tail gas in the heat exchanger, so that the running water can be fully heated; higher heat transfer efficiency is achieved.",1
75,Directive evaporation type ice slurry unit,"The invention provides a directive evaporation type ice slurry unit. The directive evaporation type ice slurry unit comprises a base, an ice making plate type heat exchanger arranged on the base, an ice making water pump connected with the ice making plate type heat exchanger, a pipeline connected with the ice making plate type heat exchanger and an unblocking device, a sensor and an ice slurry control cabinet, wherein the ice making plate type heat exchanger is used for cooling flowing water and freezing flowing water into ice particles. The sensor is used for detecting the pressure, temperature and flow in the pipeline. The ice slurry control cabinet is used for controlling the ice making plate type heat exchanger, and the ice particle content is generated. The content, detected by the sensor, of ice particles in water flow is not allowed to exceed 5%. The directive evaporation type ice slurry unit has the beneficial effects that the system is simple, and the structure is compact. System and pipeline connection is very simple. High efficiency and energy saving are achieved, direct evaporation type ice making is adopted in the new system, secondary heat exchange is reduced, meanwhile, multi-item power consumption of the system is reduced, and the integral efficacy is improved by 30% or above. Work is stable, and an ice making plate is adopted for ice making.",1
76,Energy-efficient heat exchanger for central air-conditioner,"The invention discloses an energy-efficient heat exchanger for a central air-conditioner. The energy-efficient heat exchanger comprises a heat exchange box body, a first air exhaust device and a second air exhaust device. The first air exhaust device and the second air exhaust device are arranged in parallel. An air outlet of the first air exhaust device and an air outlet of the second air exhaust device are aligned up and down. The first air exhaust device comprises a partition plate erected in the middle of the box body, a first exhaust outlet formed in the partition plate, and a first draft fan erected at the first exhaust outlet. The side wall on the periphery of the partition plate and the inner side wall of the heat exchange box body are fastened. The second air exhaust device comprises a second air outlet formed in a top plate of the box body and a second draft fan erected in the second air outlet. The partition plate and the top plate of the heat exchange box body are arranged in parallel. By the adoption of the structural design, the heat exchange box body with the cross section being in an isosceles trapezoid shape is divided into two through the first air exhaust device, the first air exhaust device and the second air exhaust device correspond to each other up and down, and therefore the purposes of increasing the convection speed of the bottom of the heat exchanger and improving the overall heat exchange efficiency of the heat exchanger are achieved.",1
77,Energy-saving and environment-friendly boiler with preheating function,"The invention discloses an energy-saving and environment-friendly boiler with a preheating function. The energy-saving and environment-friendly boiler comprises a shell, a grate, a boiler slag collection trough, a circulating pump and a fan. A vertical material uniformization plate is arranged on the upper surface of the grate. A material passing opening penetrating the two sides is formed in the material uniformization plate. A heat absorption pipe is arranged in the boiler slag collection trough and is located at the bottom of the boiler slag collection trough, and the outer end of the heat absorption pipe communicates with a heat exchanger. Multiple heat conduction columns are horizontally inserted into a water jacket. The other end of a smoke discharging pipe communicates with a waste heat collection box. A heat exchange coiled pipe is mounted in the waste heat collection box. The bottom of the waste heat collection box communicates with a purification box. According to the energy-saving and environment-friendly boiler, the arranged material uniformization plate moves to uniformly pave dye, the combustion area of fuel is large, and contact of the fuel and air is sufficient; and heat in smoke is absorbed by the heat exchange coiled pipe and used for preheating inner heating water, the water temperature increase speed is increased, and the heating efficiency of hot water in the boiler is guaranteed.",1
78,Novel efficient HVAC indoor unit,"The invention discloses a novel efficient HVAC indoor unit. The novel efficient HVAC indoor unit comprises a shell, a heat exchanger and a centrifugal fan. The heat exchanger and the centrifugal fan are arranged in a first cavity. A first air outlet is formed in a left side plate of the machine shell. A first air inlet is formed in a right side plate. The heat exchanger is in a V shape. The centrifugal fan comprises a volute, a wind wheel and a motor. The volute comprises a second air inlet and a second air outlet. The volute is located between an upper side plate and a lower side plate. The first air outlet communicates with the second air outlet. A volute tongue of the volute is connected with a static pressure return plate which is obliquely arranged. One end of the static pressure return plate is connected with a volute tongue of a volute air outlet, the other end of the static pressure return plate extends in the first air outlet direction, the centrifugal fan directly conducts blowing towards the first air outlet, the vortex phenomenon is effectively avoided, and efficiency is improved. Overall, if the same air volume is output, the current needed input power of the motor is lower than the original input power, more electric energy is saved, and cost is reduced.",1
79,Device for recycling potassium and sodium from wastewater,"The invention belongs to the technical field of chemical equipment, and provides a device for recycling potassium and sodium from wastewater. A sodium chloride recycling mechanism comprises a first liquid conveying pipe, a first plate heat exchanger, a first evaporating pot, a second evaporating pot and a first centrifugal separator which are connected in sequence, and a discharge hole of the first centrifugal separator is connected with a sodium chloride pot; a potassium chloride recycling mechanism comprises a second liquid conveying pipe, a second plate heat exchanger, a third evaporating pot, a fourth evaporating pot and a second centrifugal separator which are connected in sequence, and a discharge hole of the second centrifugal separator is connected with a potassium chloride pot; a first circulating mechanism is communicated with the first centrifugal separator and the first liquid conveying pipe; a second circulating mechanism is communicated with the second centrifugal separator and the second liquid conveying pipe; two ends of a first exchanging pipe are respectively connected to a first circulating pipe and the second liquid conveying pipe; two ends of a second exchanging pipe are respectively connected to a second circulating pipe and the first liquid conveying pipe. According to the device provided by the invention, the technical effects of improving the recycling efficiency of the whole device and reducing the working time are realized, and the economic cost is reduced.",1
80,Air conditioner indoor unit and air conditioner,"The invention discloses an air conditioner indoor unit and an air conditioner. The air conditioner indoor unit comprises a chassis, a panel, an indoor heat exchanger and a filter screen; the panel is arranged on the chassis; the indoor heat exchanger is arranged between the chassis and the panel; the filter screen is arranged between the air inflow side face of the indoor heat exchanger and an air inlet of the indoor heat exchanger; a filter screen guide rail is arranged on the inner side face of the panel; the filter screen is arranged on the filter screen guide rail in a sliding manner; the filter screen guide rail comprises two guide rail plates arranged in a spaced manner; and at least one of the two guide rail plates is an elastic piece. The air conditioner indoor unit is simple in structure and quite convenient to install and maintain.",1
81,"Automobile, automobile air conditioning system and automobile air conditioning control method","The invention discloses an automobile air conditioning system. The automobile air conditioning system comprises a heat exchanging system and an air feeding system; the heat exchanging system comprises an automobile interior heat exchanger; the automobile interior heat exchanger comprises a roof heat exchanger and a seat heat exchanger, wherein the roof heat exchanger is arranged on a roof and the seat heat exchanger is arranged within a seat; and the air feeding system at least comprises a roof air outlet and a seat air outlet, wherein the roof air outlet is formed in the roof and the seat air outlet is formed in the lower part of a seat cushion of an automobile seat. The roof air outlet and the seat air outlet mutually blow hot air so that a position, close to the top, of an automobile and a position, close to a bottom plate, of the automobile are mutually heated; and at the moment, the interior of the automobile can be rapidly heated. As the air comes out at the top and the bottom at the same time, the heat can rapidly spread to the position close to the bottom plate; therefore, passengers in the automobile can feel comfortable only by consuming less energy so that the energy consumption is effectively reduced; and fore a pure electric automobile, the endurance mileage can be also effectively increased. The invention further discloses a control method for the automobile air conditioning system and an automobile using the automobile air conditioning system.",1
82,COOLING DEVICE WITH EVENLY DISTRIBUTED AND DIRECTED COOLING EFFECT FOR HIGH HEAT FLUX AND DEAERATION FUNCTIONALITY,"The present invention refers to a cooling device for providing cooling capability of adjacent structures comprising: a hollow chamber, an inlet and a chamber outlet, wherein the inlet, the chamber and the chamber outlet are configured such that fluid flow may enter via the inlet, pass through the chamber, and exit via the chamber outlet. The chamber is divided into a distribution chamber and a cooling chamber by a partitioning member, wherein the inlet is fluidly connected to the distribution chamber and the chamber outlet is fluidly connected to the cooling chamber. The partitioning member comprises at least a first and a second constriction passage, wherein the first constriction passage has a first predefined cross sectional flow area and the second constriction passage has a second predefined cross sectional flow area. The sizes of the predefined at least first and second cross sectional flow areas of the at least first and second constriction passages are controllable, whereby the distribution of fluid flow from the distribution chamber to the cooling chamber via the respective constriction passage is controllable.",1
83,COUNTER-FLOW HEAT EXCHANGER,"A heat exchanger includes a casing having a first inlet, a first outlet, a second inlet, and a second outlet, and a plate assembly positioned between the first inlet and the first outlet and between the second inlet and the second outlet and at least partially in the casing, the plate assembly is being configured to transfer heat between a first fluid and a second fluid. The heat exchanger also includes a first plenum connecting a first side of the plate assembly and configured to direct the first fluid from first inlet to the plate assembly, and a second plenum connecting a second side of the plate assembly and configured to direct the first fluid from the plate assembly to the first outlet. An exterior of the second plenum is in contact with the second fluid, and the second plenum is configured to resiliently deflect in response to thermal expansion.",1
84,THREE-DIMENSIONAL WAVE-SHAPED FIN AND HEAT EXCHANGER COMPRISING SAME,"Disclosed are a three-dimensional wave-shaped fin and a heat exchanger comprising the same. A three-dimensional wave-shaped fin (100) according to an embodiment of the present invention is a three-dimensional wave-shaped fin (100) for a heat exchanger, which is formed to have a plurality of tube binding holes (101) alternately arranged at regular intervals. The constitution of the fin is characterized in that: the three-dimensional wave-shaped fin (100) has a plurality of wave structures formed on a surface thereof; the wave structures have an upstream portion and a downstream portion which are axisymmetric to each other with respect to an imaginary line (L1) passing through a center of the tube binding hole (101) in a direction perpendicular to a flow direction; and the wave structures have a longer wave pitch at a portion in which a fluid flows fast along the three-dimensional wave-shaped fin (100), compared to an adjacent portion. A three-dimensional wave-shaped fin according to the present invention enables an effective heat transfer length of fluid to be increased, and consequently can noticeably improve heat transfer performance.",1
