Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing
","ALFA LAVAL CORP AB
",17/08/2017,"SE1651142A 2016-08-25
","ROMLUND JENS
","F28D9/00
F28F3/02
","F28D9/005
F28F3/025
F28F2275/14
","EP3287731A1
",,5,

METHOD FOR PRODUCING HEAT SINK,"Provided is a method for producing a heat sink that can easily and effectively form a heat radiating film on the surface of a substrate without requiring enormous heat energy for increasing the temperature of the substrate. The method is a method for producing a heat sink having a substrate W and a heat radiating film formed on the surface of the substrate W, including a first step of casting a substrate W by injecting molten metal Y into a cavity C of molding dies 10; and a second step of applying a heat radiating coating to the substrate W through spraying or dropping in the period from when the molding dies 10 are opened after the casting until when the temperature of the substrate W that has been cast becomes lower than the deposition temperature that is a temperature necessary to deposit the heat radiating coating on the substrate W.","EP3287211A1 2018-02-28
","TOYOTA MOTOR CO LTD
MEC INT CO LTD
",23/08/2017,"JP2018032716A 2016-08-24
","KOBAYASHI MITSUHIRO
KAWAHARA FUMIO
SUGIURA NAOAKI
TAKAMI KATSUHIRO
FURUKAWA YUICHI
","B22D17/00
B05D1/02
","B21D53/04
B05D1/02
B22D17/00
B23P15/26
B23P2700/10
F28F3/02
F28F13/18
F28F21/065
H05K7/2039
","EP3287211A1
US2018056363A1
JP2018032716A
",,1,

ENGINE HEAT EXCHANGER AND METHOD OF FORMING,"A heat exchanger (50, 150, 250, 350) for a turbine engine having a body (88, 188, 288, 388) including a first surface (68, 168, 268, 368), a second surface (70, 170, 270, 370) opposite the first surface (68, 168, 268, 368), and at least one fluid passage (190, 290) configured to carry a flow of heated fluid (H) proximal to the second surface (70, 170, 270, 370) and where the body (88, 188, 288, 388) is arranged to transfer heat from the heated fluid (H) to a cooling fluid (C) passing by the second surface (70, 170, 270, 370).","EP3290846A1 2018-03-07
","UNISON IND LLC
",25/08/2017,"US2018058473A1 2016-08-31
","KENWORTHY MICHAEL THOMAS
GERSTLER WILLIAM DWIGHT
DIAZ CARLOS ENRIQUE
","F28D1/02
F02C7/12
F28D21/00
F28F3/04
F28F7/02
F28F13/12
","F04D29/584
B23P15/26
F02C7/12
F28D1/0246
F28D2001/0273
F28D2021/0026
F28F3/04
F28F7/02
F28F13/12
F28F2215/04
F28F2255/16
","EP3290846A1
US2018058473A1
CA2976534A1
",,3,

PLATE HEAT EXCHANGER HAVING THROUGH HOLE FOR FASTENING OF HYDRO BLOCK,"A heat exchanger comprises a number of heat exchanger plates provided with a pressed pattern arranged such that flow channels for media to exchange heat will be formed between the number of heat exchanger plates when the plates are stacked onto one another to a heat exchanger plate stack. Port openings are provided for selective communication with the flow channels, the selective communication being achieved by placing areas surrounding said port openings at different heights, such that such areas of neighbouring plates contact one another when no communication is desired and do not contact one another when communication is desired. At least one opening extends through the entire heat exchanger stack, the at least one opening being arranged in line with an axis extending centrally between two neighbouring port openings and being closed from communication with the flow channels.","WO2018046451A1 2018-03-15
","SWEP INT AB
",04/09/2017,"SE1651224A 2016-09-12
","PAULSSON FREDRIK
DAHLBERG TOMAS
ANDERSSON SVEN
","F28D9/00
F28F3/04
","F28D9/0056
F28F3/046
F28F2275/20
","WO2018046451A1
",,1,

HEAT EXCHANGER WITH IMPROVED TUBE-REINFORCING MEANS,"Heat exchanger (10) according to the invention comprising: _ a bundle of tubes (12); _ a header box (14) connected to the tubes (12); _ at least one collector plate (18) closing the header box (14) and into which the tubes (12) open _ a bundle of fins; and _ reinforcing means (20) for reinforcing at least one of the tubes (12), characterized in that the reinforcing means (20) are attached to an exterior surface (S) of at least one of the tubes (12) in a zone (Z) devoid of fins and extending between the collector plate (18) and an envelope surface (E) defined by the bundle of fins.","WO2018020132A1 2018-02-01
","VALEO SYSTEMES THERMIQUES
",25/07/2017,"FR3054655A1 2016-07-29
","ASRI MOHAMED
AZZOUZ KAMEL
","F28D1/053
F28D21/00
F28F9/04
","F28D1/05366
F28D2021/0082
F28F9/04
F28F2225/04
","FR3054655A1
WO2018020132A1
",,1,

COLLECTOR PLATE FOR HEAT EXCHANGER,"The subject of the invention is a collector plate 9, 9' able to be incorporated into a collector box 4, 4' that forms part of a heat exchanger 1 for a vehicle, the said collective plate 9, 9' comprising slots 17, 17', 20, 20' capable of housing one of the ends of tubes 10, 10' that form part of the heat exchanger 1, at least two groups of slots Gf1, Gf2 each being made up of slots referred to as open 17, characterized in that the collective plate 9, 9' comprises at least one slot referred to as blind 20, 20' formed between the two groups of open slots Gf1,Gf2.","WO2018020136A1 2018-02-01
","VALEO SYSTEMES THERMIQUES
",25/07/2017,"FR3054654A1 2016-07-29
","ASRI MOHAMED
AZZOUZ KAMEL
","F28F9/02
F28D1/04
F28D1/053
","F28F9/0209
F28D1/0408
F28D1/05366
F28F2270/02
","FR3054654A1
WO2018020136A1
",,1,

DEVICE AND METHOD FOR TEMPERING THE FLOW OF LIQUIDS IN MEDICAL DEVICES,The present invention relates to a device for tempering the flow of medical rinsing liquids and to a method carried out with the aid of said device.,"WO2018019317A1 2018-02-01
","WOM WORLD MEDICINE GMBH
",20/07/2017,"DE102016009173A1 2016-07-29
","LUTZ ANDREAS
SCH…NBORN KARL-HEINZ G†NTER
","A61M3/02
A61B1/12
F28D9/00
","A61M3/02
A61B1/128
A61M3/022
A61M2205/122
A61M2205/127
A61M2205/128
A61M2205/3334
A61M2205/3368
A61M2205/3606
A61M2205/366
A61M2205/6027
A61M2206/14
F28D9/00
","WO2018019317A1
DE102016009173A1
",,1,

METHOD FOR PRODUCING A PLATE HEAT EXCHANGER BLOCK WITH TARGETED APPLICATION OF THE SOLDER MATERIAL TO FINS AND SIDEBARS IN PARTICULAR,"The present invention relates to a method for producing a soldered plate heat exchanger block (11), which has a plurality of heat exchange passages (1) for indirect heat exchange between at least two fluids, wherein the plate heat exchanger block (11) is made up of separating plates (4), sidebars (8) and heat conducting structures (3) as components (4, 8, 3), wherein the heat conducting structures (3) have or form a corrugated structure with alternately arranged corrugation peaks and troughs (12, 14) and corrugation flanks (13), and wherein the corrugation peaks and troughs (12, 14) are arranged parallel to one another. The method has the following steps: arranging the components (3, 4, 8) in a stack (11) by arranging the separating plates (4) in parallel while inserting sidebars (8) and heat conducting structures (3) between the separating plates (4), and soldering the stack (11). Before arranging the components (3, 4, 8) in a stack, solder material (L) is applied to one or more of the components (3, 4, 8) of the plate heat exchanger block (11) in such a way that a respective abutting area (8a, 8b) of the sidebars (8), a respective abutting area (12b, 14a) of the heat conducting structures (3) and/or a respective abutting region (4a, 4b) of the separating plates (4) is formed by solder, and that, when viewed after arranging the components (3, 4, 8) in the stack (11) and before soldering the stack (11), surface regions (15) that are located on one side (4.1, 4.2) of a respective separating plate (4) between the abutting regions (4a, 4b) and/or the abutting areas (8a, 8b, 12b, 14a) are free from a solder layer (L) or are not in contact with a solder layer (L).","WO2018041416A1 2018-03-08
","LINDE AG
",31/08/2017,"EP16001912A 2016-09-01
","MATHE GUENTHER
AIGNER HERBERT
","B23K1/00
B23K1/008
B23K1/20
B23K101/14
F28D9/00
F28F3/02
","B23K1/0012
B23K1/008
B23K1/20
B23K2201/14
F28D9/0031
F28D9/0062
F28F3/02
","WO2018041416A1
",,3,

VEHICLE THERMAL MANAGEMENT SYSTEM AND HEAT EXCHANGERS,"A vehicle thermal management system includes selective use of a liquid cooled gas cooler (LCGC) and conductive heat exchangers between heating, cooling, battery, and powertrain thermal management loops to increase temperature control and efficiency of the system.","WO2018045013A1 2018-03-08
","SEGAME TECH LLC
",30/08/2017,"US201662382794P 
US201762533949P 
",,"B60H1/00
B60H1/14
B60L11/18
F25B25/00
F28D9/00
H01M10/625
","B60H1/00278
B60H1/00321
B60H1/00885
B60H1/00899
B60H1/143
B60H2001/00307
B60H2001/00928
B60H2001/00935
B60L11/1874
B60L11/1875
B60L2240/545
F25B25/005
F28D9/0093
H01M10/625
","WO2018045013A1
",,1,

HEAT EXCHANGER AND METHOD FOR MANUFACTURING SUCH A HEAT EXCHANGER,"The present invention relates to a heat exchanger and a method for manufacturing such a heat exchanger. The heat exchanger comprises a material body (3) comprises a plurality of projecting end portions (3a, 3b) which comprises outer end surfaces(la, lb, 2a, 2b) defining an end of the material body (3) and spaces (6, 7) which are arranged between adjacent end portions (3a, 3b) which spaces (6, 7) are defined by an inner end surface (la, lb, 2a, 2b) which is located at a distance from the end of the material body. Said outer end surfaces (la, lb, 2a, 2b) comprises openings of channels (lc, 2c) which direct a first medium (4) through the material body (3) and said inner end surfaces (la, lb, 2a, 2b) comprises openings of channels (lc, 2c) which direct a second medium (5) through the material body (3). The heat exchanger comprises a clamping device (11, 15) which is adapted to press together the projecting end portions (3a, 3b) such that a tight connection is provided between adjacent end portions (3a, 3b) at an end of the material body (3).","WO2018052366A1 2018-03-22
","BREDELL STEFAN
KJAERBOE PETER
MOBERG ARNE
",14/09/2017,"SE1651235A 2016-09-16
","BREDELL STEFAN
KJAERBOE PETER
MOBERG ARNE
","F28F9/02
F24F12/00
F28D7/00
F28D9/00
F28D21/00
","F28D9/0081
F24F12/006
F28D7/0025
F28D21/0014
F28F9/0219
F28F9/0246
F28F2230/00
","WO2018052366A1
",,3,

Heat radiation tape apparatus and method for manufacturing the heat radiation tape,"Disclosed are a heat radiating tape, and a manufacturing apparatus and a manufacturing method thereof. According to the present invention, the heat radiating tape includes a compression region formed on both sides of a ridge and a valley of a corrugation structure. Moreover, the manufacturing apparatus comprises: a corrugation roll forming the compression region on both sides of the ridge and the valley of the corrugation structure, and spaced apart at a predetermined distance to be engaged with each other to allow rotation; and a transfer means to transfer a heat radiating sheet to the corrugation roll. The manufacturing method comprises: a step of passing the heat radiation sheet through the corrugation roll; a step of forming a compression region on both sides of the ridge and the valley of the corrugation structure by the corrugation roll; and a step of completing the heat radiating tape of a corrugation structure through plastic deformation. Accordingly, as rigidity is increased through deformation of the corrugation structure, a resistance with respect to the plastic deformation is able to be increased; thereby using a more flexible material to manufacture the heat radiating tape. The heat radiating tape is attached to a heated body in a simple adhesion method; thereby being easy to use and being able to be extended for a plurality of uses.","KR101826722B1 2018-02-12
KR20170122003A 2017-11-03
","HINEND CO LTD
",26/04/2016,"KR101826722B1 2016-04-26
KR20170122003A 2016-04-26
","CHOI GYU HONG
HWANG SEUNG SIK
JUNG HYUN JONG
","B21D13/04
B21D53/02
F28F3/02
",,"KR101826722B1
",,"1
",

FURNACE COIL MODIFIED FINS,The present invention provides for thick fins on the surface of coils or tubes in a steam cracking furnace. The fins have a thickness at their base from1/4 to 3/4 of the radius of the furnace tube. The fins have grooves or protuberances on not less than about 10% of a major surface. The fins help increase the radiant heat taken up by the tube from the walls and combustion gases in the furnace.,"CA2930827A1 2017-11-25
","NOVA CHEMICALS CORP
",25/05/2016,"CA2930827A1 2016-05-25
","BENUM LESLIE WILFRED
MAH EVAN GEEVOUY
KLUTHE JEFFREY THOMAS
CROWE JEFFREY STEPHEN
PETELA GRAZYNA
","F28F1/12
C10G9/20
F28F21/08
","F28F1/12
C10G9/20
F28D2021/0056
F28D2021/0075
F28F1/025
F28F1/14
F28F1/38
F28F2215/10
","WO2017203388A2
CA2930827A1
US2017343301A1
TW201743027A
",,1,

SELF-ICE MAKING/SELF HEATING HYBRID FOOD AND BEVERAGE STORAGE CHEST,"A refrigerated food storage box has been disclosed. This refrigerated food storage box has an inner box comprising a set of inner walls and an inner base, together enclosing a food storage compartment. There is also an outer box comprising a set of outer walls and an outer base, wherein each outer wall is located at a predetermined distance from a corresponding inner wall and the outer base is located at the predetermined distance from the inner base, thereby creating a thermal cavity between the inner box and the outer box. There is at least one plate-type heat exchanger located within the thermal cavity, wherein each plate-type heat exchanger having a hollow cavity therein. Note that the hollow cavity capable of receiving temperature controlled air from a refrigeration unit, thereby capable of altering the temperature inside the food storage compartment.","WO2017205854A3 2018-01-18
WO2017205854A2 2017-11-30
","AHMAD MOHAMMAD SHARAZ
AHMAD MOHAMMAD ALI
AHMAD NADEEM
",26/05/2017,"US201662341992P 2016-05-26
","AHMAD MOHAMMAD SHARAZ
AHMAD MOHAMMAD ALI
AHMAD NADEEM
","B65D81/18
B65D81/38
F25B9/02
F25B9/04
F25D11/00
F25D23/06
","F25B9/04
F25D3/06
F25D11/003
F25D23/026
F25D31/005
F25D2303/0831
F25D2400/38
","WO2017205854A3
US2017343247A1
",,1,

Vertikaler W_rmetauscher,"The invention relates to a vertical heat exchanger (1) having a heat exchange volume (2) that is bounded at opposite ends by an upper tube plate (3) and a lower tube plate (4) of the heat exchanger (1), and a homogeneous tube bundle (10), wherein the tube bundle (10) has a multiplicity of heat exchanger tubes (12) that are arranged regularly with respect to one another and extends within the heat exchange volume (2) between the lower tube plate (4) and the upper tube plate (3), wherein furthermore the heat exchanger tubes (12) can be flowed through by a first medium and at least one second medium can be arranged in the rest of the heat exchange volume (2), and wherein an exchange of heat can be carried out between the first medium and the second medium.","DE102016210218A1 2017-12-14
","SIEMENS AG
",09/06/2016,"DE102016210218A1 2016-06-09
","M†HLER JOERG
N…NNING MARTIN
TISCHER HEIKO
HAJE DETLEF
","F28D7/00
F28F9/013
","F28D7/16
F22B9/00
F28F9/005
F28F9/185
F28F2265/12
F28F2265/14
","WO2017211604A1
DE102016210218A1
",,3,

SOLVENT SEPARATION METHOD AND SOLVENT SEPARATION APPARATUS,"Provided is a solvent separation method and a solvent separation apparatus that make it possible to efficiently retrieve the thermal energy possessed by an exhaust atmosphere released in a solvent-removal step to suppress reductions in a temperature of the exhaust atmosphere. In the solvent separation method and the solvent separation apparatus, a vaporized solvent is removed from a gas while heat-exchange between the gas within a condensation part and the gas within a dust-collection part is conducted by using a heat exchange part that is placed between the condensation part that introduces the gas into a first direction and the dust-collection part that introduce the gas into a second direction opposite to the first direction the gas discharged from a downstream side of the condensation part.","US2017341085A1 2017-11-30
","PANASONIC CORP
",21/03/2017,"JP2017213484A 2016-05-30
","NAGAI KOICHI
TAKANO YASUYUKI
KAWATA MASAHIRO
KANDA TOSHIRO
MINAMIO MASANORI
","B03C3/01
B01D53/00
B01D53/32
B03C3/017
B03C3/02
B03C3/38
F28B1/06
","B03C3/01
B01D53/002
B01D53/323
B01D2257/704
B01D2258/0216
B03C3/014
B03C3/017
B03C3/02
B03C3/08
B03C3/366
B03C3/368
B03C3/38
B03C3/41
B03C3/47
B03C2201/10
F28B1/06
F28D21/0014
F28F3/04
F28F2265/24
","US2017341085A1
CN107441896A
JP2017213484A
KR20170135666A
",,1,

"TURBULENCE MEMBER AND HEAT EXCHANGER USING SAME, AND WATER HEATER",A turbulence member is made of a flat plate member configured to be inserted into a heat-transfer tube having a substantially elliptical cross-sectional shape. The flat plate member is a generate turbulence in a fluid flowing inside the heat-transfer tube by a plurality of projected pieces projected on both front and back surfaces. A rotation preventing piece configured to prevent rotation of the flat plate member inside the heat-transfer tube is provided in at least one of both side edges along the flow passage direction in the flat plate member. The rotation preventing piece is provided at a predetermined angle to the flat plate member so that a forefront comes into contact with a tube wall inner circumferential surface of the heat-transfer tube. A space through which the fluid can circulate is formed between the rotation preventing piece and the tube wall inner circumferential surface.,"US2017343304A1 2017-11-30
","RINNAI KK
",19/05/2017,"JP2017211115A 2016-05-24
","NAGASAKA TOSHIMITSU
NEGI HIDENAO
NAKAGOSHI TAKAAKI
","F28F13/12
B01F5/06
","F28F13/12
B01F5/0614
B01F5/0617
B01F2005/0639
F24H9/0026
F28D21/0007
","US2017343304A1
CN107421376A
JP2017211115A
KR20170132691A
",,1,

Power battery water chilling unit system and intelligent control method thereof,"The invention discloses a power battery water chilling unit system and an intelligent control method thereof. The power battery water chilling unit system comprises a water chilling unit and a water chilling unit controller; the water chilling unit comprises a compressor, a pressure switch, a condenser, a condensation fan, a stored liquid drying tank, an expansion valve, a plate type exchanger, a PTC heater, a three-way valve, an inlet water temperature sensor, a power battery box body, an outlet water temperature sensor, a water tank and an electronic water pump. The compressor, the pressure switch, the condenser, the condensation fan, the stored liquid drying tank, the expansion valve and the platy type exchanger are connected in series. The power battery water chilling unit system not only efficiently improves the degree of automation of control of the power battery water chilling unit, but the control system also can adjust the rotating speed of the compressor, the electronic water pump and the condensation fan adaptively, can keep the power battery working in the optimal temperature range and the temperature difference range; in addition, the battery temperature trend can be known in advance through an ampere-hour integer; and as a correction factor is added, the hysteresis of temperature collection can be solved efficiently.","CN107425232A 2017-12-01
","XIAMEN KING LONG UNITED AUTOMOTIVE IND CO LTD
",11/05/2017,"CN107425232A 2017-05-11
","HUANG LING
TANG JING
FANG YUAN
LIN JING
YANG FUQING
ZENG LINGHOU
XU YIFAN
","H01M10/613
F25B41/04
F25B49/02
H01M10/625
H01M10/633
H01M10/635
H01M10/6556
H01M10/6568
H01M10/663
",,"CN107425232A
",,1,

Composite heat conduction plate for heat exchanger,"The invention relates to a composite heat conduction plate for a heat exchanger, and belongs to the technical field of heat exchangers. The organic-inorganic composite heat conduction plate comprises a magnesium oxide-aluminum oxide-molybdenum selenide composite material layer, a first heat conduction bonding layer, a polycarbonate resin substrate, a second heat conduction bonding layer and a metal substrate which are sequentially stacked, wherein a plurality of through holes are formed in the polycarbonate resin substrate in a through manner, and the through holes are filled with heat conduction bonding columns; and the heat conduction bonding columns make the first heat conduction bonding layer be connected with the second heat conduction bonding layer. Compared with the prior art, the composite heat conduction plate has the advantages that the multi-layer composite structure is used, the organic-inorganic composite heat conduction plate is formed by compounding materials with different functions, and the heat conduction performance is excellent.","CN107421379A 2017-12-01
","NANTONG SHUGUANG ELECTROMECHINCAL ENG CO LTD
",15/05/2017,"CN107421379A 2017-05-15
","ZHANG RONG
ZHAO JIANJUN
YANG HAILONG
YAN KAIHONG
XIE YONGJUN
ZHAO GUIFENG
WANG YAN
DENG YUMING
","F28F21/00
B32B3/08
B32B3/24
B32B7/12
B32B9/04
B32B15/09
B32B27/36
C09J11/04
C09J11/06
C09J11/08
C09J123/12
C09J125/06
C09J129/02
C09J133/00
",,"CN107421379A
",,1,

Organic-inorganic composite heat conduction plate for heat exchanger,"The invention relates to an organic-inorganic composite heat conduction plate for a heat exchanger, and belongs to the technical field of heat exchangers. The organic-inorganic composite heat conduction plate comprises a boron nitride-aluminum oxide-titanium nitride composite material layer, a first heat conduction bonding layer, an ABS resin substrate, a second heat conduction bonding layer and the metal substrate which are sequentially stacked, wherein a plurality of through holes penetrating through the ABS resin substrate are formed in the ABS resin substrate, and the through holes are filled with heat conduction bonding columns; and the heat conduction bonding columns make the first heat conduction bonding layer connected with the second heat conduction bonding layer. Compared with the prior art, the organic-inorganic composite heat conduction plate has the advantages that the multi-layer composite structure is used, the organic-inorganic composite heat conduction plate is formed by compounding materials with different functions, and the heat conduction performance is excellent.","CN107421380A 2017-12-01
","NANTONG SHUGUANG ELECTROMECHINCAL ENG CO LTD
",15/05/2017,"CN107421380A 2017-05-15
","ZHANG RONG
ZHAO JIANJUN
YANG HAILONG
YAN KAIHONG
XIE YONGJUN
ZHAO GUIFENG
WANG YAN
DENG YUMING
","F28F21/00
B32B3/08
B32B3/24
B32B7/12
B32B9/04
B32B15/082
B32B27/30
C09J11/04
C09J11/06
C09J11/08
C09J123/06
C09J129/04
C09J133/00
C09J163/00
",,"CN107421380A
",,1,

Air conditioner indoor unit,"The invention provides an air conditioner indoor unit comprising a case, a heat exchanger, a fan and a movable cover plate. The case is provided with an air inlet and an air outlet. The heat exchanger is arranged in the case, and air entering the case from the air inlet exchanges heat with the heat exchanger to form heat-exchanged air. The fan is arranged in the case and drives the heat-exchanged air to be blown towards the indoor space through the air outlet. The movable cover plate is movably arranged at the air outlet and can move away from the air outlet to enable an annular air supply gap to be formed between the edge of the movable cover plate and the edge of the air outlet, or moves close to the air outlet so as to close the air outlet. An air supply structure of the air conditioner indoor unit is novel and unique, the air can be uniformly blown towards the indoor space in a large range easily, and thus the temperature of the indoor space is decreased or increased uniformly.","CN107421091A 2017-12-01
","QINGDAO HAIER AIR CONDITIONER
",04/05/2017,"CN107421091A 2017-05-04
","LI PENG
GAO LILI
XIE LINLIN
LI JINTAO
","F24F13/10
F24F13/16
F24F13/20
",,"CN107421091A
",,1,

Ship ballast water treatment system based on PLC control,"The invention relates to a ship ballast water treatment system based on PLC control. The ship ballast water treatment system comprises a sea chest and a shipboard; a ballast compartment, a plate-type preheater, a shell and tube main heat exchanger, a heat storage cabinet, an automatic cleaning and filtering device and an ultraviolet inactivation device are sequentially connected in series between the sea chest and the shipboard; a first electric control valve and a first ballast pump are connected in series between the sea chest and the ballast compartment; a second ballast pump, a main flowmeter and a second electric control valve are connected in series between the ballast compartment and the plate-type preheater; and the sea chest is sequentially connected in series with the a third electric control valve, a cooling water pump and a freshwater cooler. The waste heat of the freshwater cooler of a host is reasonably utilized, ultraviolet inactivation is selectively assisted by a PLC control module, and finally, the ballast water can reach the corresponding sea emission standard.","CN107416944A 2017-12-01
","UNIV WUHAN TECH
",08/05/2017,"CN107416944A 2017-05-08
","SHU FEI
YANG YALEI
XU PUXING
SHANG LEI
","C02F1/32
",,"CN107416944A
",,1,

Novel simply-mounted plate heat exchanger,"The invention discloses a novel simply-mounted plate heat exchanger which comprises a first panel, bolts, heat exchange sheets, partition layers and a second panel. The outward panel face of each of the first panel and the second panel is provided with an inlet and an outlet which communicate with a heat exchange sheet main channel. The first panel and the second panel which are vertically arranged are opposite with panel faces. The partition layers and the heat exchange sheets are arranged in the middle, and the bolts penetrate through holes evenly distributed in the peripheries of the first panel and the second panel for locking connection. The integrated structure is simple, the manufacturing cost is low, and the energy utilization rate is high, and the novel simply-mounted plate heat exchanger is suitable for various specifications of auxiliary facilities.","CN107421363A 2017-12-01
","NANTONG HI EFF STRONTIUM HEAT EXCHANGE EQUIPMENT CO LTD
",27/05/2017,"CN107421363A 2017-05-27
","CHENG HAIXIA
","F28D9/04
",,"CN107421363A
",,5,

Air conditioner indoor unit and air conditioner,"The invention discloses an air conditioner indoor unit and an air conditioner. The air conditioner indoor unit comprises a support, an electrical control box, a heat exchanger, a volute, a front water receiving disc, a rear water receiving disc and a water drainage component, wherein the support comprises a base plate and side fixing parts which are separately located on two ends of the base plate; each of the two side fixing parts is provided with a slide chute structure; a wire hole is formed in a side, below the electrical control box, of the base plate; sliding boss structures which are in slidable match with the slide chute structures are separately arranged on left and right ends of the volute; the front water receiving disc is arranged on the front end of the upper part of the volute; the rear water receiving disc is arranged on the rear side of the upper part of the volute; the end wall, close to the electrical control box, of the front water receiving disc is provided with a first water outlet faucet which extends toward a direction departing from the end wall; the water drainage component comprises a first water drainage pipe connector and a first water drainage pipe; the first water drainage pipe connector is detachably connected with a free end of the first water outlet faucet and one end of the first water drainage pipe; and the other end of the first water drainage pipe penetrates through the wire hole. By adopting the technical scheme of the invention, disassembly difficulty of the volute and the water drainage pipe is lowered, so that convenience of disassembly of the volute for cleaning or repair is improved.","CN107420979A 2017-12-01
","MIDEA GROUP CO LTD
WUHAN REFRIGERATION EQUIPMENT CO LTD OF MIDEA GROUP
",14/06/2017,"CN107420979A 2017-06-14
","SU BINGCHAO
QIN QIANG
","F24F1/00
F24F13/22
F24F13/30
",,"CN107420979A
",,1,

Heat exchange plate special for heat exchanger,"The invention discloses a heat exchange plate special for a heat exchanger. Outer frame edges horizontally arranged at the four edges of a plate face are located on the same plane. The outer frame edges are lower than the plate face but are parallel to the plate face. The bottom walls of pits evenly distributed in the plate face are flush with the bottom edges of the outer frame edges. The outwards-protruding direction of connecting openings is opposite to the direction of the outer frame edges. By means of the heat exchange plate special for the heat exchanger, a heat exchange medium enters each heat exchange unit from the connecting opening of the heat exchange unit and forms turbulence flow through blocking of the alternative pit outer walls, and the heat exchange efficiency can be better improved through the heat exchange medium turbulence flow.","CN107421371A 2017-12-01
","NANTONG HI EFF STRONTIUM HEAT EXCHANGE EQUIPMENT CO LTD
",27/05/2017,"CN107421371A 2017-05-27
","CHENG HAIXIA
","F28F3/04
",,"CN107421371A
",,3,

Electric power heat dissipation transformer,"The invention discloses an electric power heat dissipation transformer. The electric power heat dissipation transformer is reasonable and simple in structure low in production cost and convenient to install; in the heat dissipation process for the transformer, design of cooling oil is omitted, so that a phenomenon of oil flow discharge can be avoided; when the transformer is in use, a circulation blower, an air exchanging fan and a fan work together to drive large-area air convection so as to realize air circulation in each corner of the interior, thereby greatly improving the heat dissipation effect; a rainshed is provided, so that rainwater is prevented from entering the interior, a rainwater collector stores collected rainwater to a water chamber, and a water pump sprays rainwater to a main ventilating pipe through a nozzle, so that dramatic cooling is realized; heat dissipation sheets are also arranged, so that the heat dissipation effect is further improved; and in addition, the heat dissipation sheets adopt multiple sectional type heat dissipation plates, and multiple heat dissipation spiral columns are arranged on the heat dissipation plates, so that the heat dissipation effect is further improved.","CN107424746A 2017-12-01
","SUN JINGYU
",13/06/2017,"CN107424746A 2017-06-13
","SUN JINGYU
","H01F27/08
F28F3/02
H01F27/16
H01F27/22
",,"CN107424746A
",,1,

Solar photothermal exchanger,"The invention discloses a solar photothermal exchanger. The solar photothermal exchanger comprises a photothermal conversion structure which communicates with a ventilation opening of an underground space and is composed of a plurality of solar photothermal conversion units communicating with one another, each solar photothermal conversion unit is rectangular, and the solar photothermal conversion units are arranged in a rectangular array form. The solar photothermal conversion units comprise middle air channels, a photothermal diaphragm plate is arranged on the air channels, and a light transmitting protection layer is arranged on the photothermal diaphragm plate. A heat preservation layer is arranged under the air channels. Inlets of the air channels communicate with the ventilation opening of the underground space, and outlets of the air channels communicate with an inlet of a chimney. According to the solar photothermal exchanger, a circular solar photothermal receiving pipeline is converted into a planar solar photothermal receiving pipeline, the photothermal conversion efficiency is high, air in the air channels is heated synchronously, and accordingly, the requirement for increasing the system ventilation flow rate is met. The solar photothermal exchanger is convenient to transport and install by being designed in a modular mode, and meanwhile is long in service life, high in performance cost ratio, simple and practical.","CN107421132A 2017-12-01
","UNIV SHAANXI SCIENCE & TECH
",19/07/2017,"CN107421132A 2017-07-19
","NING DUO
WANG CHENGBING
YANG JIE
","E21F1/00
",,"CN107421132A
",,1,

Air outlet plate and air conditioner indoor unit with air outlet plate,"The invention provides an air outlet plate and an air conditioner indoor unit with the structure. The air outlet plate is an L-shaped plate. An air outlet is formed in one side face of the air outlet plate. The widths of two side plates of the air outlet plate are equal. The air conditioner indoor unit comprises a shell, a heat exchanger assembly, a water collection disc, a draught fan assembly and the air outlet plate, wherein the water collection disc, the draught fan assembly and the air outlet plate are arranged in the shell from top to bottom. The heat exchanger assembly is obliquely arranged on the shell. A reserved space used for assembling the air outlet plate is formed between the heat exchanger assembly and the shell. The air outlet plate is assembled at the position of the reserved space and is detachably connected and fixed to the shell. The air outlet of the air outlet plate faces the top or faces one side. By means of the air outlet plate and the air conditioner indoor unit, the problems that in the prior art, because an air outlet and an air conditioner indoor unit with the air outlet structure are complex in air outlet structure and steering air ducts need to be added during steering, installation and assembly are difficult are solved.","CN107421089A 2017-12-01
","QINGDAO HISENSE HITACHI AIR CONDITIONING SYSTEM CO LTD
",26/07/2017,"CN107421089A 2017-07-26
","HE CHANGQING
LIU LIQIANG
GONG ZHENHUA
WANG QINGBO
","F24F13/08
F24F1/00
F24F13/20
F24F13/30
",,"CN107421089A
",,1,
