,Title,Abstract,Ranking
41,"LuftkÃhler zur KÃhlung der Luft in R_umen, insbesondere in begehbaren Lager- oder KÃhlr_umen","The invention relates to an air cooler for cooling the air in rooms, in particular in storage rooms or cooling rooms in which persons can walk, which air cooler comprises: a housing (1), which has a bottom (1a), a cover (1b), which can be fastened directly and without spacing to a ceiling of the room to be cooled, and at least one side wall (1c), in which at least one air outlet (2) is arranged; at least one planar heat exchanger (3), which is arranged in the housing (1) and which lies at least substantially horizontal; and at least one fan (4) arranged in the housing (1) for sucking in air from the room to be cooled, wherein the air sucked in by the fan (4) flows through the planar heat exchanger (3) at least substantially in the vertical direction and is deflected by the fan (4) in the horizontal direction to the air outlet (2). In order to provide a highly efficient air cooler for cooling the air in large-volume storage rooms or cooling rooms, in particular storage rooms or cooling rooms in which persons can walk, which is arranged directly on a ceiling such that said air cooler can be installed in space-saving manner and which avoids the dripping of condensed water and the accumulation of dust and dirt, the fan (4) and the air outlet (2) are arranged above the heat exchanger (3) in the air cooler according to the invention.",1.0
42,"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.",1.0
43,INTERNAL CAVITY SUPPORT METHODOLOGY FOR ULTRASONIC ADDITIVE MANUFACTURING,"A manifold structure and method of forming a manifold structure includes using an ultrasonic additive manufacturing (UAM) process to build up a solid structure, machining the solid structure to form a cavity and free-standing support pillars within the cavity, and using a UAM process to build up a finstock layer over the cavity. The support pillars formed by machining have yield strengths high enough to support UAM of the finstock layer over the cavity. A plurality of finstock layers are built up within the cavity to segment the cavity into a plurality of cavities. UAM of the finstock layers enables the finstock layers to be stacked in a direction normal to a direction of flow through the cavity for efficiently transferring heat through the manifold structure.",5.0
44,PLATE-TYPE HEAT EXCHANGER,"Provided is an easily cleanable and compact plate-type heat exchanger configured such that the size of at least one fluid inlet/outlet opening is increased while the area of a heat transfer surface is maintained large, thereby enabling high heat transfer efficiency to be maintained. A plate-type heat exchanger is provided with: a large number of plates (100) having plates which have portions (120, 130) with protrusions and recesses and which are arranged in parallel; and a large number of spacers arranged so as to be sandwiched between the large number of plates. The spacers are provided at edges of plate surfaces at a predetermined distance from each other and comprise: first spacers (200) for forming first flow passages in cooperation with the plate surfaces; and second spacers (300) provided at edges of the plate surfaces at a predetermined distance from each other and forming second flow passages in cooperation with the plate surfaces, the second flow passages having inlet/outlet openings directed in a different direction from the first flow passages. The first spacers and the second spacers are alternately arranged between the large number of plates.",5.0
45,3D SPIRAL HEAT EXCHANGER,A spiral heat exchanger features first spiral channels configured to form rows and columns of coiled hot fluid pathways to receive hot fluid; and second spiral channels configured to form corresponding rows and columns of coiled cold fluid pathways to receive cold fluid having a temperature less than the hot fluid. The first spiral channels and the second spiral channels are configured to alternate every other row and column so as to form a matrix of alternating rows and columns of coiled hot and cold fluid pathways separated by alternating coiled walls that act as both fluid separators and conduits through which heat is transferred between the hot fluid and cold fluid.,3.0
46,INDOOR UNIT OF AIR CONDITIONERS,"This indoor unit of air conditioners comprises: a body which is formed with a suction port and a blowout port; an air blower and a heat exchanger which are installed in an air path; and a wind direction plate which is installed in the blowout port. This indoor unit also comprises a laser device, which projects light along the blowout direction and irradiates a floor surface or a wall surface with a linear laser line. Thus, the provided indoor unit of air conditioners allows the destination position of the blown-out air to be easily visible.",1.0
47,STACK TYPE HEAT EXCHANGER,"Provided is a stack type heat exchanger comprising a plurality of first plates (22) and a plurality of second plates (24). Each of the first plates and/or each of the second plates has one or more protrusions (70) arranged in the portions of a first flow passage (14) which are located at the periphery of a tank space (18), and protruding from a body (40) toward the first flow passage. Each of the first plates and a corresponding one of the second plates are joined through the protrusions. The protrusions each have a top and a side wall. A thick-walled structure section is formed in the part of the side wall which faces the tank space, and the thickness of the entire thick-walled structure section is large in the direction perpendicular to the stack direction.",5.0
48,Bypassdichtung fÃr Scheibenheizungsmatrix,"A heat exchanger for a motor vehicle includes a seal and a core. The core includes a first groove formed in a first side and a second groove formed in an opposing second side. The first groove and the second groove are each configured to receive a portion of the seal to secure the seal to the core. The seal includes a cross member and a pair of uprights extending from opposing ends of the cross member, wherein the cross member and the uprights each include a sealing element. The uprights further include a rail extending from the upright and configured to be received in the groove of the core. The core further includes an integrated shear panel formed at opposing ends thereof.",5.0
51,WATER-COOLING DEVICE,"A water-cooling device includes a pump case, at least one winding, a driver and a heat exchange member. The pump case has a top section, a bottom section and a peripheral section together defining a pump chamber. The winding is disposed on a circuit board. The circuit board is disposed on any of the top section, the bottom section and the peripheral section. The driver is disposed in the pump chamber. At least one magnetic member is disposed on the driver in a position corresponding to the winding, whereby the magnetic member can induce and magnetize the winding on the circuit board. The heat exchange member is connected with the pump case. By means of the structural design of the water-cooling device, the volume of the water-cooling device is greatly minified and the structure of the water-cooling device is thinned.",5.0
52,TEMPERATURE PLATE AND HEAT DISSIPATION DEVICE,"A temperature plate includes a plate body and a supporting structure. The plate body has a first plate and a second plat, and a vacuum chamber is defined by the first plate and the second plate. The first plate has a first surface away from the vacuum chamber. The plate body is bent to form a bent portion with the first surface to be a compressive side, and the supporting structure is disposed corresponding to the bent portion. This configuration can prevent the deformation as bending the temperature plate and enhance the heat dissipation performance. In addition, a heat dissipation device adapting the temperature plate is also disclosed, and the heat dissipation device further includes a cooling fin assembly disposed on the first surface of the plate body.",5.0
53,"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.",1.0
54,HEAT EXCHANGER INCLUDING PASSAGEWAYS,A heat exchanger includes a core defining a first passageway and a second passageway. The core includes a plurality of unit cells coupled together. Each unit cell of the plurality of unit cells includes a first wall and a second wall. The second wall is spaced from the first wall. The first wall at least partially defines a first passageway portion and a second passageway portion. The second wall at least partially defines the second passageway portion. The second wall extends about the first wall such that the first passageway portion is nested within the second passageway portion.,3.0
55,WATER COOLING DEVICE,"The present invention relates to a water cooling device which comprises a liquid storing shell body having a liquid chamber and a pump having a stator and a rotor. The stator has a coil set disposed electrically on a circuit board. The circuit board and the coil set thereon are both disposed on at least one inner wall of the liquid chamber or integrally overmolded in the liquid storing shell body. The rotor and a propeller oppositely connected to the rotor are received in the liquid chamber and exposed in the cooling liquid. The propeller is provided with a plurality of blades made of metal. At least one magnetic pole region is magnetized on each of the blades opposite to the coil set. Therefore, a thinning effect can be achieved.",5.0
56,Interface-Free Thermal Management System for High Power Devices Co-Fabricated with Electronic Circuit,"A thermal-interface-material (TIM)-free thermal management apparatus includes a thermally-conductive unitary structure having an integrated circuit (IC) side and cooling system side, the thermally-conductive unitary structure including a plurality of high aspect ratio micro-pillars or porous structures extending from the IC side and a cooling system extending from the cooling system side. The cooling system may be selected from the group consisting of: a vapor chamber, micro-channel cooler, jet-impingement chamber, and air-cooled heat sink. The cooling system and the plurality of high aspect ratio micro-pillars form part of the same homogenous and thermally-conductive unitary structure.",5.0
57,HEAT TRANSFER DEVICE,"An embodiment relates to a heat transfer device including a heat generating device configured to generate heat having predetermined intensity by a user, a cover in contact with a body of the user while covering the heat generating device, and a heat transfer medium provided between the heat generating device and the cover to transfer the heat generated by the heat generating device, wherein the heat transfer medium is a structure that is formed by entangling a single wire having a predetermined length and has a predetermined width and a predetermined height, and is a structure that is compressed in an axial direction when being in contact with the body of the user and thus has a Poisson's ratio of 0.5 or higher. Thus, a structural change in the heat generating device is not required and only a material in contact with the heat generating device is changed, so that generated heat may more rapidly reach the body of the user.",5.0
58,HEAT EXCHANGER WITH VARIABLE DENSITY FEATURE ARRAYS,"According to various aspects, exemplary embodiments are provided of heat exchangers and applications. In an exemplary embodiment, a heat exchanger can include at least a first feature array and a second feature array, a channel in an interior of the heat exchanger, through which a fluid can flov, an inlet for the fluid to enter the channel, an outlet for the fluid to exit the channel. The channel may include at least one surface and said first feature array and said second feature array are positioned on the at least one surface of the channel, the fluid configured to flow from said inlet, through said channel to said outlet, and the first and second feature arrays have different densities.",5.0
59,MULTI-FUNCTIONAL SLIDE TYPE FLAKE ICE CHILLING UNIT,"Disclosed is a multi-functional slide type flake ice chilling unit. A compressor condensing unit (1) is provided with a cooling water pump (2). The cooling water pump (2) is connected to the compressor condensing unit (1) via a cooling water pipeline (3). The compressor condensing unit (1) is connected to an evaporation plate module (5) via a refrigerant pipeline (4). An ice storage tank (8) is arranged below the evaporation plate module (5). The ice storage tank (8) is internally provided with a first circulating water pipeline (13). The ice storage tank (8) is connected to a circulating water pump (9) via the first circulating water pipeline (13). The circulating water pump (9) is connected to a plate heat exchanger (12) via the first circulating water pipeline (13). The circulating water pump (9) is connected to the plate heat exchanger (12) via a second circulating water pipeline (16). The plate heat exchanger (12) is connected to a chilled water pump (14) via a chilled water pipeline (15). The circulating water pump (9) is connected to the evaporation plate module (5) via a third circulating water pipeline (17). The multi-functional slide type flake ice chilling unit has combined refrigeration, ice-making, and ice-melting functions, and has high heat transfer efficiency, a small footprint, good ice-melting performance and low cost.",1.0
62,OUTDOOR BOILER,"FIELD: heating system.SUBSTANCE: outdoor boiler comprises a heat-water-resistant body 1 within the framework of which there is a flue heat exchanger 2 with a furnace unit 3. The flue heat exchanger 2 comprises a blasting burner 4, a chimney raft 5, feed 6 and return 7 lines respectively, and the furnace unit 3 internal surface is coated with the refractory ceramic fiber 8. The boiler is fitted with the impact plate 9 of a size no greater than 1/2 of a furnace unit cross section. The furnace unit is insulated by the refractory ceramic fiber and is mounted on the top 1/3 part of the furnace unit 3.EFFECT: increasing the path length of the gas flame before the contact with flue heat exchanger with full reburning.1 dwg",1.0
63,AIR CONDITIONING UNIT FOR VEHICLES,"This air conditioning unit for vehicles, which is mounted to a vehicle ceiling (92) within a vehicle interior (91), is provided with an air conditioning case (1) having: an air suction opening (14) for sucking in air within the vehicle interior; an air discharge opening (15) for discharging air into the vehicle interior; and an air passage (10) for allowing air to flow from the air suction opening to the air discharge opening. The air conditioning device for vehicles is also provided with: a blower (3) disposed within the air passage and generating an air flow; and a heat exchanger (5) disposed in the portion of the air passage, which is located downstream of the blower in the air flow direction, and exchanging heat with air. The air conditioning unit for vehicles is further provided with a plate-shaped sound blocking guide (18) disposed in the portion of the air passage, which extends from the air suction opening to the air introduction opening (34) of the blower, and damping sound propagating from the blower to the air suction opening.",1.0
64,Oil demister of heat exchanger type,"The present invention relates to a heat exchange type oil vapor collecting device. In particular, the present invention relates to a device for recovering or removing the condensed oil droplets by enabling the oil vapor to be heat exchanged with a refrigerant while oil vapor of high temperature is passing through a zigzag-shaped narrow gap, thereby condensing fine oil vapor particles into oil droplets. The heat exchange type oil vapor collecting device of the present invention comprises: a duct-shaped or cylindrical pressure container-shaped casing (100) provided on a flow path (10) through which an oil vapor passes; a refrigerant pipeline (200) which is piped within the casing (100), and in which a refrigerant of low temperature is circulated; and a vane cooling plate (300) including a plurality of plates (310) which are supported to an outer surface of the refrigerant pipeline (200) and disposed in parallel by keeping a predetermined gap with each other, and which have a cross-sectional shape multi-bent in a zigzag shape according to a flow direction of the oil vapor. Therefore, the heat exchange type oil vapor collecting device according to the present invention enhances marketability and market competitiveness, and can effectively prevent environmental pollution at the same time by enabling a large flow amount of the oil vapor to be treated within a short time while increasing design freedom of a lubricant circulating system and the like through a compact structure in which a heat exchanger and an oil collecting module are integrated.",3.0
